#
#   VizieR Astronomical Server vizier.hia.nrc.ca
#    Date: 2016-09-14T22:06:08 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ57d9c98101f3	
#INFO	-out.form=mini	
#INFO	-out.max=9999	
#INFO	queryParameters=20	
#-oc.form=dec
#-nav=cat:I/239&tab:{I/239/tyc_main}&key:source=I/239/tyc_main&HTTPPRM:&&-ref=VIZ57d9c98101f3&-oc.form=sexa&-c.r=  2&-c.geom=r&-order=I&-out=TYC&-out=RAhms&-out=DEdms&-out=Vmag&-out=RA(ICRS)&-out=DE(ICRS)&-out=HIP&-sort=HIP&-out=BTmag&-out=VTmag&-out=B-V&-ignore=EpPhot=*&EpPhot=EpPhot&-file=-sort&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.max=9999&-out.form=ascii table&-c.eq=J2000&-c.u=arcmin&
#-c.r=  2
#-c.geom=r
#-source=I/239/tyc_main
#-order=I
#-out=TYC
#-out=RAhms
#-out=DEdms
#-out=Vmag
#-out=RA(ICRS)
#-out=DE(ICRS)
#-out=HIP
#-sort=HIP
#-out=BTmag
#-out=VTmag
#-out=B-V
#-out.max=9999
#-c.eq=J2000
#-c.u=arcmin
#
#RESOURCE=yCat_1239
#Name: I/239
#Title: The Hipparcos and Tycho Catalogues (ESA 1997)
#Coosys	J2000_1991.250:	eq_FK5 J2000
#Table	I_239_tyc_main:
#Name: I/239/tyc_main
#Title: The main part of Tycho Catalogue\vizContent{timeSerie}
#Column	TYC	(a12)	*TYC1-3 (TYC number) (T1)	[ucd=meta.id;meta.main]
#Column	RAhms	(a11)	Right ascension in h m s, ICRS (J1991.25) (T3)	[ucd=pos.eq.ra;meta.main]
#Column	DEdms	(a11)	Declination in deg ' ", ICRS (J1991.25) (T4)	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F5.2)	? Magnitude in Johnson V (T5)	[ucd=phot.mag;em.opt.V]
#Column	RA(ICRS)	(F12.8)	*alpha, degrees (ICRS, Epoch=J1991.25) (T8)	[ucd=pos.eq.ra]
#Column	DE(ICRS)	(F12.8)	*delta, degrees (ICRS, Epoch=J1991.25) (T9)	[ucd=pos.eq.dec]
#Column	HIP	(I6)	? Hipparcos HIP number (T31) [NULL integer written as an empty string]	[ucd=meta.id]
#Column	BTmag	(F6.3)	? Mean BT magnitude (T32)	[ucd=phot.mag;em.opt.B]
#Column	VTmag	(F6.3)	? Mean VT magnitude (T34)	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F6.3)	? Johnson B-V colour (T37)	[ucd=phot.color;em.opt.B;em.opt.V]
TYC;RAhms;DEdms;Vmag;RA(ICRS);DE(ICRS);HIP;BTmag;VTmag;B-V
2874   518 1;03 32 38.98;+44 51 20.8; 6.43; 53.16240499; 44.85577486; 16516; 6.406; 6.419;-0.013
3729   381 1;03 54 21.77;+58 39 12.0; 8.71; 58.59071771; 58.65333293; 18260;10.391; 8.854; 1.290
3730  1047 1;04 04 58.46;+58 39 35.2; 7.70; 61.24359665; 58.65977864; 19057; 9.169; 7.823; 1.140
2886   874 1;04 17 06.07;+41 43 54.6;11.22; 64.27527467; 41.73184099; 19978;      ;      ;
3337   284 1;04 19 46.86;+48 57 11.8; 9.70; 64.94524617; 48.95327041; 20202;11.290; 9.839; 1.222
3329  2516 1;04 21 33.15;+46 29 56.3; 4.82; 65.38811847; 46.49896312; 20354; 4.754; 4.809;-0.050
 668   201 1;04 26 21.10;+08 35 25.0; 6.07; 66.58792093;  8.59028162; 20715; 6.050; 6.066;-0.016
4738  1484 1;04 36 19.14;-03 21 08.8; 3.93; 69.07975190; -3.35244791; 21444; 3.688; 3.901;-0.187
1270   424 1;04 37 14.78;+18 32 35.0; 6.49; 69.31158298; 18.54304848; 21517; 7.496; 6.582; 0.798
2386  1003 1;04 47 46.31;+36 43 22.1; 7.51; 71.94297877; 36.72280435; 22275; 8.733; 7.613; 0.960
2901  1205 1;04 49 47.94;+42 17 23.0; 8.86; 72.44975898; 42.28971932; 22445; 9.993; 8.957; 0.894
2898  2865 1;04 59 41.54;+40 50 09.7;10.34; 74.92307510; 40.83603871; 23210;      ;      ;
2899  2036 1;05 01 23.19;+39 57 37.4; 7.62; 75.34661610; 39.96040186; 23360; 8.733; 7.714; 0.881
3738   234 1;05 06 31.64;+55 21 12.7; 7.58; 76.63183723; 55.35354075; 23768; 8.786; 7.681; 0.948
3353  2359 1;05 10 40.23;+49 41 15.4; 9.41; 77.66761844; 49.68761348; 24105;10.676; 9.523; 0.987
2904   499 1;05 12 39.23;+42 49 54.4; 9.04; 78.16344761; 42.83177978; 24281;10.233; 9.146; 0.935
2900  1521 1;05 15 21.98;+40 04 40.8;10.54; 78.84156997; 40.07800031; 24500;      ;10.536;
2917   935 1;05 28 39.24;+42 26 15.9; 9.74; 82.16349474; 42.43773899; 25642;10.751; 9.824; 0.808
8883  1641 1;05 33 37.52;-62 29 23.5; 3.76; 83.40631925;-62.48985574; 26069; 4.775; 3.850; 0.807
 727   818 1;05 45 03.16;+13 34 34.9; 8.26; 86.26316525; 13.57636482; 27119; 9.369; 8.360; 0.873
1303   289 1;05 45 40.53;+18 39 24.8; 8.08; 86.41886595; 18.65690121; 27183; 8.887; 8.149; 0.660
7066  2023 1;05 53 06.88;-33 48 05.2; 4.87; 88.27868548;-33.80143941; 27810; 4.696; 4.849;-0.135
1325  1333 1;06 02 36.59;+22 14 03.0; 9.90; 90.65247480; 22.23415722; 28625;11.094;10.006; 0.935
1872   926 1;06 06 34.94;+26 19 45.2; 9.91; 91.64560135; 26.32922509; 28945;11.334;10.032; 1.105
 721   395 1;06 07 25.46;+11 09 07.1;11.52; 91.85610396; 11.15197329; 29022;      ;      ;
 144   341 1;06 21 26.30;+06 28 12.6; 8.27; 95.35960293;  6.47016205; 30219; 9.611; 8.387; 1.043
 743  2157 1;06 22 13.19;+14 40 41.3; 8.41; 95.55497308; 14.67812632; 30286; 9.602; 8.518; 0.932
5938  2918 1;06 22 41.99;-17 57 21.3; 1.96; 95.67494781;-17.95591610; 30324; 1.747; 1.933;-0.164
 145   875 1;06 25 13.00;+07 05 08.6; 6.26; 96.30416177;  7.08571609; 30541; 8.031; 6.412; 1.355
2422  1408 1;06 28 34.09;+30 29 35.0; 5.75; 97.14203668; 30.49306881; 30827; 6.702; 5.830; 0.765
6507  2920 1;06 31 51.37;-23 25 06.4; 4.33; 97.96403445;-23.41843713; 31125; 4.038; 4.296;-0.225
 745   349 1;06 33 54.61;+14 28 17.0;10.90; 98.47754085; 14.47139873; 31306;      ;      ;
 741   430 1;06 34 35.30;+13 04 44.8;10.92; 98.64706648; 13.07910223; 31361;11.991;11.012; 0.849
1329  1533 1;06 34 57.45;+15 19 49.7; 7.07; 98.73938924; 15.33047650; 31404; 8.265; 7.177; 0.936
 150   121 1;06 37 04.84;+03 03 50.3;10.22; 99.27018736;  3.06396746; 31624;      ;      ;
 746  1480 1;06 40 05.58;+07 36 21.0;10.48;100.02323790;  7.60583436; 31905;11.965;10.611; 1.145
1342   943 1;06 43 07.51;+20 56 20.8; 9.79;100.78130450; 20.93910988; 32180;10.597; 9.864; 0.655
 156    44 1;06 47 09.40;+03 58 01.5;10.68;101.78916654;  3.96709528; 32516;      ;      ;
4800  1874 1;06 50 52.27;-01 25 45.2;10.92;102.71778506; -1.42922737; 32854;      ;      ;
4805   467 1;06 52 46.17;-02 27 29.6;11.00;103.19238139; -2.45822990; 33014;      ;      ;
4801  2693 1;06 58 00.91;-00 22 33.5;10.63;104.50379649; -0.37596104; 33520;12.097;10.760; 1.132
5380  1969 1;07 00 59.82;-08 42 32.4;10.38;105.24925656; -8.70899771; 33791;      ;      ;
4814  3228 1;07 01 53.62;-01 07 51.5; 8.67;105.47341900; -1.13096513; 33874; 9.345; 8.728; 0.563
4822  3679 1;07 02 54.78;-04 14 21.3; 4.98;105.72824914; -4.23923862; 33971; 4.722; 4.944;-0.195
1353  1550 1;07 04 06.54;+20 34 13.1; 4.01;106.02723019; 20.57029942; 34088; 5.139; 4.106; 0.892
4815  2284 1;07 08 09.31;-00 03 56.6;10.32;107.03879205; -0.06572001; 34421;11.285;10.405; 0.771
5406  2572 1;07 09 15.42;-13 47 09.9;10.61;107.31422972;-13.78608698; 34527;11.512;10.690; 0.726
5969  1995 1;07 13 11.68;-18 43 50.7;11.15;108.29864925;-18.73075599; 34895;      ;      ;
5403  1583 1;07 16 37.64;-11 29 14.3; 8.19;109.15682369;-11.48730961; 35212; 9.214; 8.276; 0.817
5966  2005 1;07 21 32.86;-16 41 14.0; 9.71;110.38691146;-16.68722270; 35665;11.045; 9.827; 1.038
5407   288 1;07 22 02.38;-14 19 05.5; 9.58;110.50991506;-14.31819863; 35708;10.633; 9.672; 0.835
6542  1119 1;07 26 07.20;-25 15 26.6; 9.83;111.53000402;-25.25737644; 36088;11.311; 9.960; 1.143
6542  1048 1;07 26 28.25;-25 55 36.4; 9.39;111.61769694;-25.92679006; 36125;10.493; 9.487; 0.871
5987   844 1;07 31 49.09;-20 08 58.8;11.44;112.95454587;-20.14967257; 36617;      ;      ;
5991   461 1;07 32 36.65;-21 55 49.5; 8.35;113.15270864;-21.93042401; 36666; 9.109; 8.422; 0.619
5991  2138 1;07 32 47.03;-20 54 34.9; 8.45;113.19597584;-20.90969430; 36685; 9.868; 8.575; 1.097
8137  2965 1;07 38 18.21;-48 36 05.2; 5.68;114.57588201;-48.60144965; 37174; 6.498; 5.751; 0.666
6551  1703 1;07 38 35.24;-28 29 58.6; 9.70;114.64683663;-28.49961257; 37207;10.900; 9.804; 0.942
6544  2757 1;07 41 49.72;-25 02 30.4;10.69;115.45717354;-25.04177990; 37506;11.449;10.761; 0.619
5992  2476 1;07 41 54.89;-21 07 59.0;10.45;115.47868963;-21.13306222; 37511;11.355;10.530; 0.728
6544    64 1;07 41 59.01;-25 52 34.3; 9.08;115.49585751;-25.87618246; 37515;10.248; 9.182; 0.919
6544   504 1;07 48 03.85;-25 34 40.0; 9.99;117.01606173;-25.57778455; 38063;11.042;10.079; 0.837
6565  1008 1;07 50 03.13;-28 15 18.6;10.70;117.51305121;-28.25517661; 38241;11.845;10.797; 0.904
8553  2534 1;07 52 29.75;-54 22 01.9; 5.69;118.12394421;-54.36718420; 38438; 5.491; 5.664;-0.153
5986    18 1;07 52 36.51;-17 23 00.7;12.21;118.15214403;-17.38353197; 38441;      ;      ;
7119  1308 1;07 53 48.78;-30 27 37.2;11.05;118.45326348;-30.46033195; 38569;      ;      ;
6565  2877 1;07 57 03.72;-28 09 41.8;12.13;119.26547960;-28.16160058; 38854;      ;      ;
7650  2909 1;07 57 45.68;-40 07 24.1; 7.36;119.44032270;-40.12337117; 38907; 8.346; 7.447; 0.786
6554  2433 1;07 58 05.14;-24 02 30.4;10.97;119.52141424;-24.04179121; 38944;11.715;11.035; 0.613
6566   628 1;07 58 22.09;-29 07 48.4; 8.54;119.59203767;-29.13010185; 38965;10.030; 8.667; 1.153
6566  1131 1;07 58 59.22;-29 18 28.4;10.66;119.74675845;-29.30789528; 39010;12.048;10.782; 1.076
6554    23 1;08 00 22.91;-23 42 11.5;10.26;120.09545869;-23.70320611; 39144;11.230;10.340; 0.779
8928  2987 1;08 04 42.94;-62 50 10.9; 6.25;121.17891407;-62.83637405; 39530; 6.122; 6.234;-0.099
7121  1316 1;08 06 21.48;-30 05 48.7; 9.74;121.58948331;-30.09687432; 39666;11.343; 9.877; 1.233
7125  4009 1;08 11 10.80;-33 30 57.2;10.73;122.79501441;-33.51588887; 40078;11.805;10.822; 0.853
8136  1166 1;08 11 59.97;-46 38 39.7; 5.76;122.99988166;-46.64436998; 40155; 6.518; 5.826; 0.623
7133  4132 1;08 12 22.41;-36 56 37.6; 8.06;123.09335939;-36.94376999; 40178; 9.049; 8.151; 0.786
7129  4635 1;08 13 04.22;-34 34 42.7; 6.99;123.26757446;-34.57853396; 40233; 8.710; 7.141; 1.315
7143   649 1;08 28 43.01;-34 43 53.8; 7.69;127.17920220;-34.73162485; 41586; 7.516; 7.663;-0.130
8925    61 1;08 28 43.70;-60 07 21.3; 7.31;127.18207760;-60.12258253; 41588; 8.370; 7.401; 0.842
7674   685 1;08 37 01.31;-44 06 52.9; 7.12;129.25544384;-44.11469419; 42257; 8.502; 7.241; 1.072
8155  2477 1;08 37 40.83;-47 21 43.1; 8.05;129.42013503;-47.36197990; 42321; 9.166; 8.151; 0.878
7674   877 1;08 39 45.76;-43 51 39.2;10.11;129.94066399;-43.86089835; 42492;11.332;10.218; 0.956
8569  4018 1;08 40 17.61;-52 55 19.1; 3.60;130.07337119;-52.92197268; 42536; 3.388; 3.568;-0.159
7679  2117 1;08 40 19.22;-40 15 50.0; 5.21;130.08006996;-40.26389235; 42540; 5.186; 5.203;-0.017
7679  2120 1;08 40 19.57;-40 15 48.2; 9.54;130.08155141;-40.26338373; 42540;      ; 9.542;
8155  2681 1;08 43 38.69;-47 24 11.3; 8.32;130.91122535;-47.40312543; 42831; 9.930; 8.457; 1.239
8151  1710 1;08 44 53.47;-46 20 34.8; 8.33;131.22280194;-46.34299397; 42926; 9.427; 8.424; 0.869
8159  1212 1;08 44 55.90;-50 33 36.2; 9.63;131.23292801;-50.56004467; 42929;11.203; 9.767; 1.210
7689   948 1;09 07 42.53;-44 37 56.9; 6.79;136.92719339;-44.63247094; 44790; 6.745; 6.783;-0.035
8177  1791 1;09 08 15.76;-51 26 10.7; 7.68;137.06565895;-51.43629207; 44847; 9.141; 7.807; 1.130
8588  1663 1;09 22 16.18;-55 57 37.3; 7.57;140.56740996;-55.96035580; 45949; 8.486; 7.650; 0.736
8584  1176 1;09 30 15.85;-53 03 31.3;11.86;142.56602343;-53.05869811; 46610;      ;      ;
8175  1450 1;09 31 40.98;-49 39 18.1; 9.54;142.92073850;-49.65501653; 46746;11.453; 9.706; 1.456
7166  2619 1;09 33 50.86;-36 36 56.8; 9.29;143.46193289;-36.61577816; 46924;10.116; 9.361; 0.673
9408  1799 1;09 33 53.51;-80 56 28.7; 5.07;143.47293925;-80.94129294; 46928; 4.890; 5.046;-0.138
8585   148 1;09 36 51.48;-53 01 58.1;10.43;144.21450248;-53.03279473; 47177;11.764;10.544; 1.040
8946  3219 1;09 45 14.83;-62 30 28.5; 3.69;146.31178303;-62.50792357; 47854; 5.356; 3.831; 1.281
8602  1668 1;09 48 41.49;-55 31 10.4;10.20;147.17286518;-55.51955898; 48122;11.348;10.297; 0.906
8610   580 1;09 55 26.17;-58 25 47.0; 9.40;148.85905058;-58.42971400; 48663;10.624; 9.503; 0.962
8612   803 1;10 15 32.89;-58 10 28.0;10.61;153.88702338;-58.17445274; 50244;12.123;10.735; 1.173
8612  1945 1;10 20 20.38;-59 22 35.9;10.22;155.08491225;-59.37663949; 50615;11.366;10.323; 0.900
8604  1003 1;10 20 41.04;-55 19 17.1; 8.39;155.17099603;-55.32140554; 50655;10.075; 8.535; 1.293
8956  1662 1;10 21 22.98;-61 04 26.8; 8.84;155.34575686;-61.07410047; 50722; 9.982; 8.935; 0.903
8613  2501 1;10 26 50.88;-59 40 10.4; 9.53;156.71200930;-59.66956097; 51142;10.565; 9.616; 0.826
8613  2309 1;10 28 16.85;-59 21 00.7; 8.69;157.07021895;-59.35019386; 51262;10.012; 8.802; 1.031
8609  1046 1;10 29 11.25;-57 36 48.3; 8.26;157.29687763;-57.61340469; 51338; 9.077; 8.332; 0.665
8613  1464 1;10 33 10.86;-58 29 55.1; 8.16;158.29524132;-58.49864499; 51653; 8.912; 8.223; 0.620
8605   892 1;10 36 08.61;-56 02 35.7;10.66;159.03587609;-56.04324972; 51894;      ;      ;
8957  2113 1;10 36 17.83;-61 00 45.3; 9.32;159.07428738;-61.01258184; 51909;10.437; 9.416; 0.883
8957   720 1;10 39 20.34;-61 09 08.8; 9.10;159.83473503;-61.15245811; 52157;10.488; 9.219; 1.079
8957  1924 1;10 42 23.04;-61 09 57.3;10.70;160.59598664;-61.16592286; 52380;11.508;10.776; 0.655
8622   684 1;10 44 32.70;-57 33 55.3; 7.61;161.13623805;-57.56537363; 52538; 9.247; 7.754; 1.255
8622  2654 1;10 44 56.35;-56 17 22.4; 8.82;161.23480353;-56.28956204; 52570;10.244; 8.943; 1.104
8622   731 1;10 46 05.85;-57 32 51.2; 9.07;161.52437036;-57.54754535; 52661;10.097; 9.163; 0.814
8626  1115 1;10 51 35.78;-59 23 06.0; 9.78;162.89907600;-59.38500030; 53083;10.796; 9.869; 0.809
8958  2676 1;10 55 18.73;-60 56 24.0; 9.37;163.82806023;-60.93998857; 53397;10.687; 9.479; 1.031
8966  1083 1;10 57 09.23;-65 08 05.1; 9.42;164.28843807;-65.13476316; 53536;10.755; 9.531; 1.043
8627   435 1;10 57 48.19;-59 43 55.9; 6.34;164.45080666;-59.73219521; 53589; 7.957; 6.483; 1.240
8958  3284 1;10 57 50.69;-60 44 31.6; 9.79;164.46119904;-60.74210485; 53593;10.879; 9.882; 0.864
8958    26 1;11 01 14.40;-60 06 59.7;11.63;165.30999353;-60.11658082; 53867;      ;      ;
8966   850 1;11 02 16.07;-64 15 46.5; 9.49;165.56696681;-64.26291453; 53945;11.024; 9.621; 1.185
8958  2924 1;11 03 45.22;-60 38 32.1;10.53;165.93840331;-60.64226109; 54066;11.441;10.609; 0.733
8958  2924 2;11 03 45.53;-60 38 32.3;     ;165.93971726;-60.64229248; 54066;      ;      ;
8958  2333 1;11 04 13.48;-60 58 47.7; 8.53;166.05617403;-60.97992993; 54101;10.072; 8.659; 1.192
8628   531 1;11 09 41.15;-58 50 15.8; 6.79;167.42147310;-58.83773317; 54543; 7.821; 6.879; 0.820
8959   399 1;11 10 44.60;-60 45 01.0; 9.08;167.68582109;-60.75028694; 54621;10.054; 9.167; 0.776
8620   280 1;11 11 20.38;-54 33 25.3; 8.00;167.83491832;-54.55702207; 54659; 8.688; 8.059; 0.573
8959   439 1;11 12 10.13;-61 45 17.6; 8.11;168.04222628;-61.75487619; 54715; 9.313; 8.211; 0.946
8624   802 1;11 14 00.05;-57 54 39.3; 8.32;168.50020607;-57.91091539; 54862; 9.203; 8.400; 0.710
8959  1708 1;11 14 21.22;-60 03 10.6; 9.63;168.58842677;-60.05293377; 54891;11.000; 9.749; 1.065
8963  1579 1;11 18 18.35;-62 58 28.5; 8.83;169.57645438;-62.97457661; 55207; 9.020; 8.846; 0.157
8959  1956 1;11 25 05.76;-60 44 04.7; 8.76;171.27400477;-60.73462607; 55726;10.003; 8.867; 0.974
8959  1263 1;11 25 12.99;-61 22 09.0; 8.63;171.30413252;-61.36916034; 55736; 9.389; 8.693; 0.626
8625  3037 1;11 30 54.44;-56 53 55.9; 8.19;172.72682040;-56.89885015; 56176; 9.093; 8.269; 0.727
8976   338 1;11 40 58.55;-62 41 33.0; 8.88;175.24394594;-62.69248746; 56991; 9.836; 8.960; 0.768
8642   271 1;11 42 48.22;-58 59 36.2;11.68;175.70092465;-58.99339964; 57130;      ;      ;
8985    19 1;11 44 32.89;-67 18 18.9; 8.97;176.13704893;-67.30524128; 57260; 9.894; 9.049; 0.744
8977  6879 1;11 49 16.02;-63 04 42.9;10.26;177.31676649;-63.07859713; 57649;11.287;10.351; 0.816
8981  1135 1;11 52 17.72;-65 24 15.1; 9.53;178.07385204;-65.40419582; 57884;10.784; 9.642; 0.978
8977  6371 1;11 53 33.54;-62 51 08.0;10.03;178.38975393;-62.85221673; 57978;11.243;10.133; 0.953
6097  1648 1;12 00 51.17;-19 39 32.4; 5.28;180.21320789;-19.65899828; 58587; 5.023; 5.243;-0.193
9231   752 1;12 12 47.03;-70 09 06.4; 6.07;183.19596676;-70.15178604; 59551; 7.055; 6.154; 0.788
8978  6093 1;12 12 59.67;-62 05 48.6;11.01;183.24864384;-62.09682622; 59575;      ;      ;
8979   927 1;12 18 16.90;-63 16 48.4; 9.89;184.57043625;-63.28012254; 59996;12.231;10.099; 1.781
8979   332 1;12 21 21.14;-62 16 53.9; 6.56;185.33809353;-62.28163149; 60259; 7.656; 6.656; 0.866
8975  3829 1;12 23 37.70;-61 37 44.9; 6.90;185.90709036;-61.62912543; 60455; 7.986; 6.990; 0.863
8658   751 1;12 31 40.34;-59 25 26.1; 5.50;187.91810401;-59.42391388; 61136; 6.234; 5.562; 0.607
9236  2448 1;12 39 19.18;-71 37 18.5; 9.02;189.82991035;-71.62179966; 61751; 9.114; 9.024; 0.076
9232  1619 1;12 42 05.03;-69 24 27.2; 6.31;190.52097454;-69.40755107; 61981; 7.194; 6.390; 0.711
8659  3107 1;12 47 43.32;-59 41 19.4; 1.31;191.93049507;-59.68873303; 62434; 1.102; 1.281;-0.158
8660  2647 1;12 54 22.01;-58 25 50.2; 6.73;193.59170154;-58.43060733; 62986; 7.763; 6.818; 0.823
8660  2695 1;12 54 39.22;-59 08 48.0; 4.61;193.66341695;-59.14666504; 63007; 4.423; 4.587;-0.145
8254   547 1;12 57 36.26;-49 46 50.1; 8.34;194.40108610;-49.78058189; 63250; 8.362; 8.336; 0.021
8989  1422 1;13 03 10.69;-60 52 38.9; 9.94;195.79453360;-60.87746160; 63693;11.361;10.065; 1.100
8994  1765 1;13 18 58.29;-62 22 56.4; 8.44;199.74288538;-62.38232936; 64969; 9.632; 8.539; 0.940
8991  4662 1;13 31 33.41;-61 34 56.5; 6.66;202.88921914;-61.58236648; 65970; 7.612; 6.743; 0.763
8999   793 1;13 33 59.05;-64 03 20.0;10.24;203.49602300;-64.05556085; 66189;11.827;10.375; 1.223
8999  2332 1;13 36 36.90;-64 33 29.9; 9.83;204.15376462;-64.55831079; 66383;11.735;10.003; 1.444
8671    86 1;13 40 18.65;-57 36 47.4; 7.82;205.07769706;-57.61317491; 66696; 8.977; 7.918; 0.913
8672  1141 1;13 50 44.29;-57 34 49.8; 7.69;207.68455844;-57.58049548; 67566; 8.648; 7.772; 0.768
