#
#   VizieR Astronomical Server vizier.hia.nrc.ca
#    Date: 2016-09-14T21:47:42 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ57d9c09c3917	
#INFO	-out.max=unlimited	
#INFO	queryParameters=17	
#-oc.form=dec
#-out.max=unlimited
#-order=I
#-out.src=I/239/hip_va_1
#-nav=cat:I/239&tab:{I/239/hip_va_1}&key:source=I/239/hip_va_1&HTTPPRM:&&-ref=VIZ57d9c09c3917&-out.max=unlimited&-out.form=ascii - 999%27filled&-oc.form=sexa&-order=I&-out=HIP&-out=SpType&-out=VarType&VarType=~*cep*&-out=maxMag&-out=l_minMag&-out=minMag&-out=Period&-out=Notes&-out=VarName&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=I/239/hip_va_1
#-source=I/239/hip_va_1
#-order=I
#-out=HIP
#-out=SpType
#-out=VarType
#VarType=~*cep*
#-out=maxMag
#-out=l_minMag
#-out=minMag
#-out=Period
#-out=Notes
#-out=VarName
#

#RESOURCE=yCat_1239
#Name: I/239
#Title: The Hipparcos and Tycho Catalogues (ESA 1997)
#Table	I_239_hip_va_1:
#Name: I/239/hip_va_1
#Title: Variability Annex: Periodic variables
#Column	HIP	(I6)	Identifier (HIP) (P1)	[ucd=meta.id;meta.main]
#Column	SpType	(a12)	Spectral type (P3)	[ucd=src.spType]
#Column	VarType	(a6)	*Variability type as in GCVS/NSV (P5)	[ucd=meta.code;src.var]
#Column	maxMag	(F6.3)	Magnitude at max from curve fitting (P7)	[ucd=phot.mag]
#Column	l_minMag	(A1)	*[>] Limit flag (>) (P8)	[ucd=meta.code.error]
#Column	minMag	(F6.3)	Magnitude at min from curve fitting (P9)	[ucd=phot.mag]
#Column	Period	(F12.7)	? Mean period in days (P11)	[ucd=time.period]
#Column	Notes	(A1)	*[DGPWXYZ] Existence of notes (P16)	[ucd=meta.note]
#Column	VarName	(a12)	Variable star name (P17)	[ucd=meta.id]
HIP;SpType;VarType;maxMag;l_minMag;minMag;Period;Notes;VarName
 18260;F5-G1Ib + A:;DCEP  ; 8.343; ; 9.187;  16.4080000;D;RW_Cam
 19057;G0Iavar     ;DCEP  ; 7.456; ; 8.204;   7.9120000; ;RX_Cam
 19978;G0          ;DCEP  ;10.888; ;11.704;   4.2896000; ;SX_Per
 20202;G0          ;DCEP  ; 9.355; ;10.234;   4.9724000; ;AS_Per
 20354;B4IV        ;BCEP  ; 4.788; ; 4.846;   2.1685600;P;V469_Per
 20715;B6IV        ;BCEP  ; 6.059; ; 6.091;   1.2641000;P;V1143_Tau
 21444;B2III SB    ;BCEP  ; 3.831; ; 3.913;   0.1735150; ;nu._Eri
 21517;F5Ib        ;DCEPS ; 6.495; ; 6.856;   3.1485600; ;SZ_Tau
 22275;F7.5        ;DCEP  ; 7.228; ; 8.017;   6.4645000; ;AW_Per
 22445;F8          ;DCEP  ; 8.705; ; 9.520;  11.1160000; ;SV_Per
 23210;F7.2        ;DCEP  ;10.262; ;10.929;  10.2930000; ;AN_Aur
 23360;G0IV        ;DCEP  ; 7.470; ; 8.133;  11.6260000; ;RX_Aur
 23768;G5          ;DCEP  ; 7.345; ; 7.960;   3.2949000; ;CK_Cam
 24105;G2          ;DCEP  ; 9.305; ; 9.976;   8.0028000; ;BK_Aur
 24281;F6.5        ;DCEP  ; 8.866; ; 9.530;  10.1453000; ;SY_Aur
 24500;F8          ;DCEP  ;10.039; ;10.877;  18.1970000; ;YZ_Aur
 25642;F6.7        ;DCEP  ; 9.293; ;10.162;   3.8601100; ;Y_Aur
 26069;F6Ia        ;DCEP  ; 3.563; ; 4.244;   9.8420000; ;bet_Dor
 27119;G0          ;DCEP  ; 7.904; ; 8.701;   4.0345000; ;ST_Tau
 27183;G5          ;DCEPS ; 8.050; ; 8.398;   2.1024400; ;EU_Tau
 27810;B5V         ;BCEP  ; 4.816; ; 4.849;   0.6434390;P;lam_Col
 28625;F6.7        ;DCEP  ; 9.624; ;10.560;   5.5291000; ;RZ_Gem
 28945;G0Ib        ;DCEP  ; 9.511; ;10.141;  11.3050000; ;AA_Gem
 29022;F7          ;DCEP  ;10.881; ;11.924;   3.8890000; ;CS_Ori
 30219;G0.2        ;DCEP  ; 8.066; ; 8.960;  15.2410000; ;SV_Mon
 30286;F4Ib        ;DCEP  ; 8.222; ; 9.031;   7.5710000; ;RS_Ori
 30324;B1II/III    ;BCEP  ; 1.880; ; 1.902;   0.2512900; ;bet_CMa
 30541;K1Iabv SB   ;DCEP  ; 5.803; ; 6.737;  27.0290000; ;T_Mon
 30827;F5.5Ibv     ;DCEP  ; 5.066; ; 5.939;   3.7280600; ;RT_Aur
 31125;B1III       ;BCEP  ; 4.236; ; 4.273;   0.2095770; ;ksi01_CMa
 31306;            ;DCEPS ;10.698; ;11.127;   3.1375000; ;DX_Gem
 31361;            ;DCEP  ;11.016; ;12.132;   2.3082100; ;BB_Gem
 31404;F7.5        ;DCEP  ; 6.725; ; 7.585;   7.9153000; ;W_Gem
 31624;            ;DCEP  ;10.005; ;10.639;   5.3760000; ;CV_Mon
 31905;F6.7        ;DCEP  ;10.395; ;10.993;   2.7056000; ;BE_Mon
 32180;F8:         ;DCEP  ; 9.637; ;10.281;   3.7887000; ;AD_Gem
 32516;            ;DCEP  ;10.409; ;10.861;   4.1339000; ;V508_Mon
 32854;F9          ;DCEP  ;10.850; ;11.499;   8.7036000; ;TX_Mon
 33014;            ;DCEP  ;10.910; ;11.465;   3.9574000; ;EK_Mon
 33520;F8          ;DCEP  ;10.612; ;11.383;   7.4280000; ;TZ_Mon
 33791;F7.5        ;DCEP  ; 9.891; ;10.619;   8.0130000; ;AC_Mon
 33874;F6II        ;DCEPS ; 8.576; ; 8.898;   2.6752100; ;V526_Mon
 33971;B1V         ;BCEP  ; 4.897; ; 4.947;   0.1912080; ;V637_Mon
 34088;G3Ibv SB    ;DCEP  ; 3.782; ; 4.328;  10.1509000; ;zet_Gem
 34421;G0          ;DCEP  ;10.321; ;10.716;   2.7136000; ;V465_Mon
 34527;F8          ;DCEP  ;10.324; ;11.117;   4.6703000; ;TV_CMa
 34895;F8          ;DCEP  ;10.951; ;11.612;   5.7302000;P;RW_CMa
 35212;F7.5Ib      ;DCEP  ; 7.858; ; 8.606;   4.6784000; ;RY_CMa
 35665;F6          ;DCEP  ; 9.518; ;10.120;   4.2550000; ;RZ_CMa
 35708;F6.5        ;DCEP  ; 9.418; ;10.095;   6.9945000; ;TW_CMa
 36088;F9          ;DCEP  ; 9.535; ;10.496;  12.3560000; ;SS_CMa
 36125;F5II(R)     ;DCEPS ; 9.330; ; 9.748;   3.1263600; ;VZ_CMa
 36617;F7          ;DCEP  ;11.161; ;11.978;   4.2856000; ;VW_Pup
 36666;F3IV        ;CEP(B); 8.015; ; 8.678;   3.0118000; ;VX_Pup
 36685;K0          ;DCEP  ; 8.032; ; 9.405;  25.9750000; ;X_Pup
 37174;F4Iab       ;DCEPS ; 5.696; ; 5.878;   5.6939000; ;MY_Pup
 37207;F8          ;DCEP  ; 9.095; ;10.421;  23.1630000; ;VZ_Pup
 37506;            ;DCEPS ;10.611; ;11.006;   2.6260500; ;EK_Pup
 37511;F6.7        ;DCEP  ;10.220; ;11.188;   5.5167000; ;WW_Pup
 37515;F8          ;DCEP  ; 8.873; ; 9.572;   8.9371000; ;WX_Pup
 38063;F8          ;DCEP  ; 9.500; ;10.600;  13.5960000; ;AD_Pup
 38241;            ;DCEP  ;10.471; ;11.242;   7.1981000; ;BM_Pup
 38438;B1.5IV      ;BCEP  ; 5.632; ; 5.651;   0.1154060;P;V372_Car
 38441;            ;DCEP  ;11.690; ;12.848;   2.0188800; ;KZ_Pup
 38569;            ;CEP   ;10.792; ;11.611;   5.0775000; ;LL_Pup
 38854;            ;CEP   ;11.517; ;12.496;   3.3312000; ;LR_Pup
 38907;F8II        ;DCEP  ; 7.190; ; 7.859;   5.0844000; ;AP_Pup
 38944;F6.7        ;DCEP  ;10.366; ;11.144;   5.2505000; ;WY_Pup
 38965;K5          ;DCEP  ; 8.097; ; 9.199;  30.1190000;P;AQ_Pup
 39010;            ;CEP   ;10.039; ;11.031;  14.1470000; ;LS_Pup
 39144;F8          ;DCEP  ;10.002; ;10.859;   5.0272000; ;WZ_Pup
 39530;B2.5Vn      ;BCEP  ; 6.178; ; 6.251;   1.0164600; ;V375_Car
 39666;G4          ;DCEP  ; 9.282; ;10.634;  13.6730000; ;BN_Pup
 40078;            ;CEP   ;10.599; ;11.158;   3.4826000; ;HL_Pup
 40155;F7p         ;DCEPS ; 5.620; ; 5.987;   4.2273000; ;AH_Vel
 40178;F9          ;DCEP  ; 7.655; ; 8.626;   6.6648000; ;AT_Pup
 40233;F8Iab       ;DCEP  ; 6.660; ; 7.775;  41.4900000; ;RS_Pup
 41586;B1/B2II     ;BCEP  ; 7.625; ; 7.661;   0.2057790; ;YZ_Pyx
 41588;F8Ib/II     ;DCEP  ; 7.213; ; 7.851;   6.6970000; ;V_Car
 42257;G1Ib        ;DCEP  ; 6.567; ; 7.975;  20.4110000; ;RZ_Vel
 42321;G0II        ;DCEP  ; 7.835; ; 8.471;   4.6398000; ;T_Vel
 42492;F9          ;CEP(B); 9.925; ;10.551;   3.1285000; ;AP_Vel
 42536;B3IV        ;BCEP  ; 3.518; ; 3.552;   2.7979000; ;omi_Vel
 42540;Ap (SiCr)   ;BCEP  ; 5.152; ; 5.196;   3.1129900; ;NY_Vel
 42831;F8/G0Ib     ;DCEP  ; 7.654; ; 8.898;  23.4350000; ;SW_Vel
 42926;F8II        ;DCEP  ; 8.055; ; 8.832;   9.5502000; ;SX_Vel
 42929;K           ;DCEP  ; 9.510; ;10.186;   5.8582000; ;ST_Vel
 44790;B2II/III    ;BCEP  ; 6.749; ; 6.801;   0.2156440; ;KK_Vel
 44847;F7/F8II     ;DCEP  ; 7.569; ; 8.038;   6.9241000; ;BG_Vel
 45949;F8II        ;DCEP  ; 7.344; ; 8.092;   4.3708800; ;W_Car
 46610;            ;DCEP  ;11.644; ;12.401;   5.4844000; ;DP_Vel
 46746;            ;DCEP  ; 9.280; ;10.016;  11.1980000; ;DR_Vel
 46924;F6Iab       ;DCEP: ; 8.969; ; 9.914;   5.8982000; ;T_Ant
 46928;B5V         ;BCEP  ; 5.000; ; 5.047;   1.0796400;P;zet_Cha
 47177;            ;DCEP  ;10.013; ;10.826;   7.1335000; ;AE_Vel
 47854;G5Iab/Ib    ;DCEP  ; 3.502; ; 4.250;  35.5600000; ;l_Car
 48122;            ;CEP   ;10.137; ;10.764;   5.3234000;P;FN_Vel
 48663;F8II        ;DCEP  ; 9.104; ; 9.921;   7.1968000; ;GX_Car
 50244;            ;DCEP  ;10.482; ;11.208;   4.9330000; ;CN_Car
 50615;A1IV        ;DCEPS ;10.213; ;10.603;   4.1585000;P;GZ_Car
 50655;F5Ib/II     ;DCEP  ; 8.025; ; 8.988;  28.1340000; ;RY_Vel
 50722;F8/G0Ib     ;DCEP  ; 8.672; ; 9.331;   9.7681000; ;AQ_Car
 51142;G0          ;DCEP  ; 9.119; ; 9.993;   5.3459000; ;UW_Car
 51262;G5          ;DCEP  ; 8.268; ; 9.192;  18.1710000; ;YZ_Car
 51338;F2II        ;DCEP  ; 7.908; ; 8.776;   3.6821000; ;UX_Car
 51653;F2          ;CEP(B); 7.903; ; 8.514;   3.6401000;P;Y_Car
 51894;            ;DCEP  ;10.398; ;11.275;   6.9847000; ;XX_Vel
 51909;G0          ;DCEP  ; 9.133; ; 9.791;   5.2046000; ;UZ_Car
 52157;G2/G3Ib/II  ;DCEP  ; 9.120; ; 9.458;   9.1960000;P;HW_Car
 52380;            ;DCEP  ;10.199; ;10.675;   2.8755000; ;EY_Car
 52538;F7Iab/Ib    ;DCEP  ; 7.007; ; 8.150;  18.9010000;P;VY_Car
 52570;F7II        ;DCEP  ; 8.286; ; 9.229;  14.0980000; ;SV_Vel
 52661;F5II        ;DCEP  ; 8.806; ; 9.618;   4.8601000; ;SX_Car
 53083;F0          ;DCEP  ; 9.446; ;10.234;   4.6769000; ;WW_Car
 53397;F8          ;DCEP  ; 8.711; ;10.102;  23.0150000; ;WZ_Car
 53536;G0          ;DCEP  ; 8.739; ;10.002;  15.7060000;P;XX_Car
 53589;G3Ia        ;DCEP  ; 5.897; ; 7.109;  38.8300000; ;U_Car
 53593;G0          ;DCEP  ; 9.578; ;10.142;   4.2662000; ;CY_Car
 53867;            ;DCEP  ;11.338; ;11.992;   4.5857000; ;FN_Car
 53945;G5          ;DCEP  ; 9.008; ; 9.868;  12.4390000; ;XY_Car
 54066;G5          ;DCEP  ;10.094; ;10.446;   6.6951000;W;HK_Car
 54101;K5          ;DCEP  ; 8.197; ; 9.220;  16.6510000; ;XZ_Car
 54543;G1Iab/Ib    ;DCEP  ; 6.689; ; 7.298;   7.7190000; ;ER_Car
 54621;G0          ;DCEPS ; 9.148; ; 9.457;   5.7251000; ;GH_Car
 54659;F3III       ;DCEP: ; 7.933; ; 8.214;   3.5269200; ;V898_Cen
 54715;G1V         ;DCEP  ; 8.095; ; 8.439;   7.5314000; ;IT_Car
 54862;F4II        ;DCEPS ; 8.246; ; 8.608;   4.4311000; ;GI_Car
 54891;G5          ;DCEP  ; 9.436; ;10.183;  10.7160000; ;FR_Car
 55207;B2/B3Ib/II  ;BCEP  ; 8.859; ; 8.967;   1.4532500; ;V536_Car
 55726;K0          ;DCEP  ; 8.670; ; 9.235;   5.3093000; ;AY_Cen
 55736;G0          ;DCEPS ; 8.578; ; 8.936;   3.2122000; ;AZ_Cen
 56176;F7II        ;DCEPS ; 8.134; ; 8.481;   5.5065000; ;V419_Cen
 56991;F3Ib/II     ;CEP(B); 8.472; ; 9.256;   3.3340000; ;UZ_Cen
 57130;            ;DCEP  ;11.043; ;11.981;  12.1810000; ;KK_Cen
 57260;F8          ;DCEP  ; 8.693; ; 9.484;   3.0860900; ;RT_Mus
 57649;G5          ;CEP(B); 9.889; ;10.476;   3.1734000;P;BK_Cen
 57884;F8:p        ;DCEP  ; 9.294; ;10.411;  11.6350000; ;UU_Mus
 57978;F5          ;DCEPS ;10.005; ;10.436;   3.9980000; ;BB_Cen
 58587;B2IV        ;BCEP  ; 5.189; ; 5.230;   1.4814900;P;TY_Crv
 59551;F6Ib        ;DCEP  ; 6.029; ; 6.581;   9.6595000; ;S_Mus
 59575;            ;DCEP  ;10.782; ;11.528;   6.3978000; ;AD_Cru
 59996;            ;DCEP  ; 9.508; ;10.013;  12.8470000;D;SU_Cru
 60259;G2Ib        ;DCEP  ; 6.483; ; 6.995;   6.7331000; ;T_Cru
 60455;F7Ib/II     ;DCEP  ; 6.483; ; 7.318;   5.8257000; ;R_Cru
 61136;F5III       ;DCEPS ; 5.490; ; 5.704;   3.3430100; ;BG_Cru
 61751;B3V         ;BCEP  ; 9.021; ; 9.099;   0.1705320; ;KZ_Mus
 61981;F7Ib        ;DCEP  ; 6.023; ; 6.902;   7.5106000; ;R_Mus
 62434;B0.5III     ;BCEP  ; 1.145; ; 1.165;   0.1911880; ;bet_Cru
 62986;F7Ib/II     ;DCEP  ; 6.316; ; 7.097;   4.6898000; ;S_Cru
 63007;B4Vn        ;BCEP  ; 4.562; ; 4.569;   0.3516800;P;lam_Cru
 63250;B2Ib        ;BCEP  ; 8.354; ; 8.394;   0.2545440; ;V856_Cen
 63693;G3          ;DCEP  ; 9.760; ;10.372;   4.4242000; ;V496_Cen
 64969;F8Ib-II     ;DCEPS ; 8.419; ; 8.800;   6.4603000; ;V378_Cen
 65970;F6/F7Ib     ;CEP   ; 6.612; ; 6.876;   5.6231000;P;V659_Cen
 66189;            ;DCEP  ; 9.752; ;10.820;  15.0370000; ;VW_Cen
 66383;            ;DCEP  ; 9.389; ;10.415;  34.0500000; ;KN_Cen
 66696;F7/F8II     ;DCEP  ; 7.452; ; 8.416;  10.9530000; ;XX_Cen
 67566;F8Ib/II     ;CEP   ; 7.424; ; 8.157;   5.0787000; ;V381_Cen
 70203;F7II        ;DCEP  ; 8.645; ; 9.184;   9.4654000; ;V339_Cen
 70574;B2IV        ;BCEP  ; 4.494; ; 4.524;   0.1773720;P;tau01_Lup
 71116;F5Ia        ;DCEP  ; 6.532; ; 7.366;   5.4941000; ;V_Cen
 71492;G0/G1Ib     ;DCEP  ; 6.684; ; 7.091;   7.0656000; ;V737_Cen
 71860;B1.5III     ;BCEP  ; 2.217; ; 2.239;   0.2598410;P;alf_Lup
 72121;B2III       ;BCEP  ; 6.075; ; 6.091;   0.1275520; ;BU_Cir
 72264;F2/F3II     ;CEP   ; 7.504; ; 7.840;   2.3981200; ;BP_Cir
 72583;F7II        ;DCEP  ; 7.401; ; 7.704;   3.0652400;P;AV_Cir
 72710;B2:p        ;BCEP  ; 7.890; ; 7.984;   1.3133600;P;V1018_Cen
 72773;F8II + A/F  ;DCEP  ; 5.782; ; 6.228;   5.2734000;P;AX_Cir
 73152;F2Ib        ;CEP   ; 8.750; ; 9.120;  37.1000000;P;EN_TrA
 74448;            ;DCEP  ; 9.404; ;10.061;   8.2183000; ;IQ_Nor
 75018;F7Ib/II     ;DCEP  ; 6.469; ; 7.046;   3.3893000; ;R_TrA
 75430;G2Iab       ;CEP   ; 7.709; ; 7.872;   9.2770000; ;GH_Lup
 76918;F8Ib/II     ;DCEP  ; 8.853; ; 9.762;  12.6550000; ;U_Nor
 77913;            ;DCEP  ; 9.146; ;10.028;  12.6440000; ;SY_Nor
 78476;F8II        ;DCEP  ; 6.133; ; 6.927;   6.3237000; ;S_TrA
 78771;            ;DCEP  ;11.214; ;12.135;  10.7670000; ;TW_Nor
 78797;            ;DCEP  ; 9.765; ;10.524;   6.1982000; ;RS_Nor
 78978;F8Ib/II     ;CEP(B); 7.524; ; 8.405;   2.5684200;P;U_TrA
 79625;            ;DCEP  ;10.179; ;10.723;   3.4531000; ;GU_Nor
 79932;F8/G0Ib     ;DCEP  ; 6.283; ; 6.946;   9.7534000; ;S_Nor
 80112;B1III       ;BCEP  ; 2.894; ; 2.942;   0.2468300; ;sig_Sco
 80563;B1/B2II/III ;BCEP  ; 7.948; ; 7.981;   0.1323130; ;V348_Nor
 82023;            ;DCEP  ; 9.775; ;10.833;  20.8200000; ;V340_Ara
 82498;K5          ;DCEP  ; 9.447; ;10.284;  28.7560000; ;KQ_Sco
 83059;G0Ib        ;DCEP  ; 6.810; ; 7.616;   6.0617000; ;RV_Sco
 83674;G0II        ;DCEP  ; 7.114; ; 7.806;   4.0677000; ;BF_Oph
 84970;B2IV        ;BCEP  ; 3.184; ; 3.205;   0.1405278;P;the_Oph
 85035;F7/F8Ib/II  ;DCEP  ; 6.523; ; 7.050;   6.7969000; ;V636_Sco
 85189;B1/B2Ib     ;BCEP  ; 9.117; ; 9.182;   0.2127400; ;V2371_Oph
 85701;F8/G0II     ;DCEP  ; 7.752; ; 8.418;   4.5281000; ;V482_Sco
 85927;B1.5IV+...  ;BCEP  ; 1.503; ; 1.540;   0.2137120;P;lam_Sco
 86269;F5Ib        ;DCEP  ; 7.275; ; 7.618;   3.3798000; ;V950_Sco
 86432;B3IV/V      ;BCEP  ; 7.132; ; 7.207;   1.9172400; ;V994_Sco
 86670;B1.5III     ;BCEP  ; 2.312; ; 2.319;   0.2016988;P;kap_Sco
 87072;F7II        ;DCEP  ; 4.364; ; 5.028;   7.0125000; ;X_Sgr
 87173;K0          ;DCEP  ; 8.686; ; 9.194;   9.3141000; ;V500_Sco
 87495;G3Ibv SB    ;DCEPS ; 6.009; ; 6.476;  17.1370000; ;Y_Oph
 87812;B2IV-V      ;BCEP  ; 5.834; ; 5.865;   0.1398892; ;V2052_Oph
 88567;G0Ib/II     ;DCEP  ; 4.393; ; 5.243;   7.5941000; ;W_Sgr
 88884;B1/B2II     ;BCEP  ; 7.932; ; 7.978;   0.1690219;P;V4382_Sgr
 89013;G5          ;DCEP  ;10.554; ;11.302;   5.3014000; ;CR_Ser
 89276;F7/F8Ib/II  ;DCEP  ; 6.727; ; 7.510;   5.0589000; ;AP_Sgr
 89596;F7III:      ;DCEP  ; 7.581;>; 8.600;  21.8560000; ;WZ_Sgr
 89968;F8II        ;DCEP  ; 5.494; ; 6.251;   5.7737000; ;Y_Sgr
 90110;F8          ;DCEP  ;10.291; ;11.120;   6.5716000; ;AY_Sgr
 90241;F7/F8II     ;CEP   ; 8.556; ; 9.409;   6.4250000; ;XX_Sgr
 90791;F5I         ;DCEP  ; 9.684; ;10.468;   4.1993000; ;X_Sct
 90836;G1Ib        ;DCEP  ; 6.499; ; 7.225;   6.7452000; ;U_Sgr
 91201;F5IIIvar    ;CEP(B); 9.396; ; 9.832;   4.2710000; ;BQ_Ser
 91239;G0IIvar     ;DCEPS ;10.156; ;10.408;   3.0912700; ;EV_Sct
 91342;G5          ;CEP(B); 7.644; ; 8.199;   5.8234000; ;EW_Sct
 91366;G1          ;DCEP  ; 9.459; ;10.072;  10.3407000; ;Y_Sct
 91613;G           ;DCEP  ;10.461; ;10.950;   7.4159000; ;CK_Sct
 91697;F9.5        ;DCEP  ; 8.983; ; 9.993;  19.6990000; ;RU_Sct
 91706;G1          ;DCEP  ;10.525; ;11.344;  11.0490000; ;TY_Sct
 91738;            ;DCEP  ;10.930; ;11.457;   3.9175000; ;CM_Sct
 91785;G1.2        ;DCEP  ; 9.195; ;10.151;  12.9020000; ;Z_Sct
 91867;F7.5        ;DCEP  ; 8.058; ; 8.590;   3.6712000; ;SS_Sct
 92013;F8Ib/II     ;DCEP  ; 7.221; ; 7.968;   5.1541000; ;V350_Sgr
 92067;G5          ;DCEP  ; 9.985; ;10.567;   7.5072000; ;BB_Her
 92370;G2Ib        ;DCEP  ; 7.187; ; 7.857;   9.5490000; ;YZ_Sgr
 92491;G0Ib        ;DCEP  ; 6.811; ; 7.424;   6.6371800; ;BB_Sgr
 93015;F5Ib-II:    ;CEP   ; 4.008; ; 4.911;   9.0944000; ;kap_Pav
 93063;            ;DCEP  ;10.810; ;11.488;   2.9874800; ;V493_Aql
 93124;F8Ib        ;DCEPS ; 5.314; ; 5.660;   4.4708000;P;FF_Aql
 93399;F8          ;DCEP  ; 9.630; ;10.357;   7.3041000; ;V336_Aql
 93681;G3          ;DCEP  ; 8.209; ; 9.299;  17.1410000; ;SZ_Aql
 93990;F5IV        ;DCEP  ; 6.814; ; 7.774;  13.7528000; ;TT_Aql
 94004;G5          ;DCEPS ; 7.737; ; 8.106;   6.8077000;P;V496_Aql
 94094;F2IV        ;DCEP  ; 8.025; ; 8.761;   6.1138000; ;FM_Aql
 94402;G0.5        ;DCEPS ; 8.259; ; 8.813;   9.4812000; ;FN_Aql
 94588;B8          ;BCEP  ; 7.339; ; 7.439;   2.1678000; ;V1447_Aql
 94685;F6Ib-II     ;DCEPS ; 6.184; ; 6.361;   1.4908100; ;V473_Lyr
 94793;B1.5II-III  ;BCEP  ; 8.298; ; 8.382;   0.1822480; ;V1449_Aql
 95118;F7.5        ;DCEP  ; 9.836; ;10.483;   7.2357000; ;V600_Aql
 95820;F5-G1I-II   ;DCEP  ; 6.218; ; 6.996;   7.0232000; ;U_Aql
 96458;F8IV        ;DCEP  ; 6.927; ; 7.623;   7.9905000; ;U_Vul
