C.D.S.  -  SIMBAD4 rel 1.5.8  -  2016.10.02CEST21:48:38

 IdentList
----------

# ;typed ident;                    identifier                    ;typ;  coord1 (ICRS,J2000/2000)   ;Mag U ;Mag B ;Mag V ;Mag R ;Mag I ;  spec. type   ;#bib;#not
--;-----------;--------------------------------------------------;---;-----------------------------;------;------;------;------;------;---------------;----;----
18;RU Psc     ;TYC 1747-1336-1          V* RU Psc                ;RR*;01 14 26.03793 +24 24 56.3725;     ~;10.34 ;10.15 ;     ~;     ~;A2             ;  61;   0
19;RU Scl     ;V* RU Scl                                         ;RR*;00 02 48.10957 -24 56 43.0689;     ~;10.991;10.563;10.24 ;10.069;F0/2V          ;  61;   0
20;RV CrB     ;TYC 2054-5-1             V* RV CrB                ;RR*;16 19 25.85137 +29 42 47.6404;     ~;11.61 ;11.53 ;     ~;     ~;A1             ;  69;   0
21;RV Uma     ;TYC 3850-662-1           V* RV UMa                ;RR*;13 33 18.08438 +53 59 14.6081;     ~;10.97 ;10.9  ;     ~;     ~;F0             ; 138;   0
22;RX Eri     ;TYC 5899-580-1           V* RX Eri                ;RR*;04 49 44.29135 -15 44 28.2502; 9.64 ; 9.43 ; 9.22 ;     ~;     ~;F2             ; 144;   0
23;RZ Cep     ;TYC 4273-949-1           V* RZ Cep                ;RR*;22 39 13.17772 +64 51 30.6036;     ~; 9.48 ; 9.19 ; 9.3  ; 9.1  ;A0-F2          ; 123;   0
24;ST Boo     ;TYC 2570-206-1           V* ST Boo                ;RR*;15 30 39.23085 +35 47 04.3057;     ~;11.22 ;11.13 ;     ~;     ~;F2             ;  85;   0
25;ST CVn     ;TYC 2012-893-1           V* ST CVn                ;RR*;13 57 34.06087 +29 51 28.6887;     ~;11.43 ;11.21 ;     ~;     ~;A1             ;  45;   0
26;SU Dra     ;TYC 4159-532-1           V* SU Dra                ;RR*;11 37 56.60743 +67 19 47.0633; 9.52 ; 9.37 ; 9.27 ;     ~;     ~;F2-F7          ; 216;   0
27;SV Eri     ;TYC 5297-700-1           V* SV Eri                ;RR*;03 11 52.10655 -11 21 14.0708;     ~;10.34 ; 9.96 ;     ~;     ~;A1III          ;  93;   0
28;SV Hya     ;TYC 6686-81-1            V* SV Hya                ;RR*;12 30 30.50357 -26 02 51.1231;     ~;10.82 ;10.54 ;     ~;     ~;A5             ;  77;   0
29;SV Scl     ;TYC 7003-95-1            V* SV Scl                ;RR*;01 44 59.66250 -30 03 33.3859;     ~;11.6  ;11.6  ;     ~;     ~;kA2            ;  39;   0
30;SW And     ;TYC 1737-1702-1          V* SW And                ;RR*;00 23 43.08936 +29 24 03.6365; 9.53 ; 9.34 ; 9.15 ;     ~;     ~;A7III...       ; 217;   0
31;SW Dra     ;TYC 4394-761-1           V* SW Dra                ;RR*;12 17 46.63152 +69 30 38.2236;     ~;10.87 ;10.55 ;     ~;     ~;A7-F8          ; 124;   0
32;SX Uma     ;TYC 3853-589-1           V* SX UMa                ;RR*;13 26 13.46025 +56 15 25.0606;     ~;11.01 ;10.77 ;     ~;     ~;A              ;  57;   0
33;TT Lyn     ;TYC 2989-1709-1          V* TT Lyn                ;RR*;09 03 07.78856 +44 35 08.1213; 9.87 ; 9.75 ; 9.51 ;     ~;     ~;A9.2           ; 119;   0
34;TU Uma     ;TYC 2523-441-1           V* TU UMa                ;RR*;11 29 48.49055 +30 04 02.4094; 9.56 ; 9.41 ; 9.26 ;     ~;     ~;F2             ; 179;   0
35;TV Boo     ;TYC 3038-699-1           V* TV Boo                ;RR*;14 16 36.58091 +42 21 35.6927;     ~;11.23 ;10.93 ;     ~;     ~;B9             ;  86;   0
36;TW Her     ;TYC 2608-2414-1          V* TW Her                ;RR*;17 54 31.19965 +30 24 37.7117;     ~;11.54 ;11.26 ;     ~;     ~;F6             ; 115;   0
37;T Sex      ;TYC 237-1537-1           V* T Sex                 ;RR*;09 53 28.39930 +02 03 26.3563;10.22 ;10.04 ; 9.82 ;     ~;     ~;A1V            ; 121;   0
38;UU Vir     ;TYC 4939-145-1           V* UU Vir                ;RR*;12 08 35.073 -00 27 24.30    ;10.13 ; 9.99 ; 9.90 ;     ~;     ~;F2             ; 125;   1
39;UV Oct     ;TYC 9522-447-1           V* UV Oct                ;RR*;16 32 25.53387 -83 54 10.5183;     ~; 9.80 ; 9.44 ;     ~;     ~;A8/F0Ia/ab(w)  ;  82;   0
40;UY Boo     ;TYC 907-1037-1           V* UY Boo                ;RR*;13 58 46.33747 +12 57 06.4558;     ~;11.18 ;10.81 ;     ~;     ~;A2             ; 101;   0
41;UY Cam     ;V* UY Cam                                         ;RR*;07 58 58.88054 +72 47 15.4203;     ~;11.48 ;11.736;     ~;     ~;A3-A6III       ;  56;   0
42;UY Cyg     ;TYC 2688-2715-1          V* UY Cyg                ;RR*;20 56 28.30246 +30 25 40.3104;     ~;11.37 ;11.1  ;     ~;     ~;G              ;  76;   0
43;V440 Sgr   ;TYC 6889-1242-1          V* V440 Sgr              ;RR*;19 32 20.78211 -23 51 12.7553;     ~;10.6  ;10.6  ;     ~;     ~;F0             ;  74;   0
44;V675 Sgr   ;TYC 7400-461-1           V* V675 Sgr              ;RR*;18 13 35.41006 -34 19 01.8403;     ~;10.56 ;10.18 ;     ~;     ~;F0             ;  60;   0
45;VX Her     ;TYC 1510-178-1           V* VX Her                ;RR*;16 30 40.79990 +18 22 00.5524;     ~;10.74 ;11.31 ;     ~;     ~;A4-F4          ; 125;   0
46;V Ind      ;TYC 8422-875-1           V* V Ind                 ;RR*;21 11 29.90402 -45 04 28.3835;     ~;10.714;10.246;     ~;     ~;F0V            ;  63;   0
47;WY Ant     ;TYC 6630-1689-1          V* WY Ant                ;RR*;10 16 04.94673 -29 43 42.4114;     ~;11.03 ;10.78 ;     ~;     ~;A8.7           ;  95;   0
48;XX And     ;TYC 2800-297-1           V* XX And                ;RR*;01 17 27.41498 +38 57 02.0359;     ~;11.00 ;10.62 ;     ~;     ~;A2             ; 106;   0
49;XZ Cyg     ;TYC 3929-1961-1          V* XZ Cyg                ;RR*;19 32 29.30486 +56 23 17.4900;     ~; 9.94 ; 9.68 ;     ~;     ~;A5-F7          ; 222;   0
50;X Ari      ;TYC 651-83-1             V* X Ari                 ;RR*;03 08 30.88520 +10 26 45.2282; 9.45 ; 9.25 ; 8.97 ;     ~;     ~;F0.5           ; 236;   0
51;YZ Cap     ;TYC 6347-974-1           V* YZ Cap                ;RR*;21 19 32.41125 -15 07 01.1574;     ~;11.48 ;11.09 ;     ~;     ~;F5             ;  59;   0
================================================================================

<hr><p>
